ISBN,AvgBookRating,NumberOfRating,BookTitle,BookAuthor,YearOfPublication,Publisher,new_score
1551668300,1.9076923076923078,65,16 Lighthouse Road,Debbie Macomber,2001,Mira,1.3388343445629096
0451524934,4.614583333333333,192,1984,George Orwell,1990,Signet Book,2.1662915068187307
0446610038,3.498721227621483,391,1st to Die: A Novel,James Patterson,2002,Warner Vision,1.8284236334783133
0345303067,2.721518987341772,79,2010: Odyssey Two,Arthur C. Clarke,1984,Del Rey Books,1.514323582066845
1551669293,1.704225352112676,71,204 Rosewood Lane,Debbie Macomber,2002,Mira,1.280911923013491
0451203593,2.4342105263157894,76,24 Hours,Greg Iles,2001,Signet Book,1.4462568155978193
0316693200,3.704,125,2nd Chance,James Patterson,2002,"Little, Brown",1.8003953561486932
0316603570,4.0375,80,3rd Degree,James Patterson,2004,"Little, Brown",1.8383847731252754
0451203895,1.9470198675496688,151,4 Blondes,Candace Bushnell,2002,Signet Book,1.2482494918970295
0860074382,3.857142857142857,63,84 Charing Cross Road,Helene Hanff,0,Warner Books> C/o Little Br,1.7674258505369322
1558743316,2.689189189189189,74,A 2nd Helping of Chicken Soup for the Soul (Chicken Soup for the Soul Series (Paper)),Jack Canfield,1994,Health Communications,1.5082786478556442
0743224574,2.7794117647058822,136,A Beautiful Mind: The Life of Mathematical Genius and Nobel Laureate John Nash,Sylvia Nasar,2001,Simon &amp; Schuster,1.5201307098481163
0446611867,3.264,250,A Bend in the Road,Nicholas Sparks,2002,Warner Books,1.7024770959130298
0451183665,2.2198952879581153,191,A Case of Need,Michael Crichton,1994,Signet Book,1.3196033059033199
1558743669,4.091603053435114,262,"A Child Called \It\"": One Child's Courage to Survive""",Dave Pelzer,1995,Health Communications,2.0259660291756916
0679772677,2.37984496124031,129,A Civil Action,JONATHAN HARR,1996,Vintage,1.3985751223594254
0393312836,5.019230769230769,52,A Clockwork Orange (Norton Paperback Fiction),Anthony Burgess,1986,W. W. Norton &amp; Company,1.9754970157944418
0345452569,2.5180722891566263,83,A Cold Heart (Alex Delaware Novels (Paperback)),JONATHAN KELLERMAN,2003,Ballantine Books,1.4620449103278623
0345452550,3.029850746268657,67,A Cold Heart: An Alex Delaware Novel,JONATHAN KELLERMAN,2003,Ballantine Books,1.587831041592491
